Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
25.0,9.943591,53.0,14.0,25.0,27.675676,19.401943,102.0,8.0,27.675675675675677,14.510981559753418,1024,0.6442363262176514,27.675676,0
41.4,23.808403,78.0,14.0,41.4,34.931034,19.890963,82.0,10.0,34.93103448275862,15.670636177062988,2037,1.650275707244873,,1
46.11111,13.118642,63.0,26.0,46.111111111111114,49.761906,26.997185,102.0,13.0,49.76190476190476,20.82571029663086,3082,2.3493826389312744,,2
67.833336,31.986544,113.0,31.0,67.83333333333333,54.894737,24.882662,111.0,15.0,54.89473684210526,20.628665924072266,4125,3.0484619140625,,3
55.75,16.07599,85.0,32.0,55.75,64.8125,27.129824,143.0,27.0,64.8125,23.182388305664062,5162,3.769350528717041,,4
75.0,23.459185,106.0,47.0,75.0,72.35714,38.22977,161.0,37.0,72.35714285714286,26.8833065032959,6175,4.442819356918335,,5
71.0,24.664413,119.0,44.0,71.0,62.5,26.893309,122.0,25.0,62.5,20.600435256958008,7175,5.1020307540893555,,6
86.6,54.455853,188.0,34.0,86.6,67.8,22.334427,129.0,43.0,67.8,20.914533615112305,8192,5.79807448387146,,7
107.0,53.83772,200.0,70.0,107.0,70.0,17.731329,106.0,43.0,70.0,19.619592666625977,9242,6.487812042236328,,8
72.666664,18.381754,107.0,51.0,72.66666666666667,77.92308,41.37904,200.0,43.0,77.92307692307692,27.17110252380371,10255,7.175854682922363,,9
67.333336,13.864423,86.0,45.0,67.33333333333333,65.75,19.086971,104.0,35.0,65.75,17.87012481689453,11307,7.884497165679932,,10
80.8,25.46684,121.0,54.0,80.8,72.92857,23.911936,132.0,33.0,72.92857142857143,19.593849182128906,12328,8.565740823745728,,11
136.66667,45.028385,194.0,84.0,136.66666666666666,99.90909,40.023754,190.0,53.0,99.9090909090909,29.514324188232422,13427,9.226972579956055,,12
146.0,55.821144,200.0,72.0,146.0,148.57143,39.238674,200.0,90.0,148.57142857142858,38.3817138671875,14467,9.977328300476074,,13
135.0,35.69314,185.0,104.0,135.0,126.75,42.272182,194.0,74.0,126.75,34.74893569946289,15481,10.642184972763062,,14
121.0,42.760963,170.0,77.0,121.0,140.875,29.336145,179.0,82.0,140.875,34.99324035644531,16608,11.359249830245972,,15
154.0,61.552147,200.0,67.0,154.0,146.57143,30.217577,174.0,85.0,146.57142857142858,35.153221130371094,17634,12.082289218902588,,16
184.33333,22.156012,200.0,153.0,184.33333333333334,160.42857,26.391867,200.0,129.0,160.42857142857142,37.6282958984375,18757,12.875240087509155,,17
147.33333,37.383896,200.0,117.0,147.33333333333334,191.16667,19.751934,200.0,147.0,191.16666666666666,43.17792510986328,19904,13.603416442871094,,18
129.0,14.713939,148.0,111.0,129.0,183.5,13.696106,200.0,163.0,183.5,42.80242919921875,21005,14.344143390655518,,19
108.75,15.2376995,131.0,88.0,108.75,136.75,16.068214,161.0,109.0,136.75,30.3107967376709,22099,15.07790994644165,,20
83.6,36.04775,132.0,31.0,83.6,122.55556,12.001029,142.0,103.0,122.55555555555556,28.371322631835938,23202,15.824088335037231,,21
122.0,11.113055,137.0,106.0,122.0,102.5,33.915337,137.0,53.0,102.5,24.82098388671875,24227,16.51738739013672,,22
121.25,9.310613,133.0,108.0,121.25,105.0,27.099815,132.0,46.0,105.0,24.551647186279297,25277,17.23990559577942,,23
140.66667,10.656245,153.0,127.0,140.66666666666666,102.8,21.843992,121.0,50.0,102.8,22.549467086791992,26305,17.89917540550232,,24
120.25,8.437268,127.0,106.0,120.25,111.4,19.04836,133.0,64.0,111.4,24.961349487304688,27419,18.673770427703857,,25
116.25,8.699857,129.0,105.0,116.25,119.888885,11.199647,136.0,103.0,119.88888888888889,25.318201065063477,28498,19.42282223701477,,26
122.0,16.985289,149.0,102.0,122.0,120.333336,9.345231,140.0,111.0,120.33333333333333,26.265565872192383,29581,20.14831018447876,,27
136.0,9.626352,146.0,123.0,136.0,121.111115,18.823416,167.0,103.0,121.11111111111111,26.20553207397461,30671,20.903934478759766,,28
131.0,6.78233,139.0,121.0,131.0,131.75,15.690363,150.0,105.0,131.75,28.888582229614258,31725,21.660430192947388,,29
200.0,0.0,200.0,200.0,200.0,153.57143,29.485382,200.0,117.0,153.57142857142858,33.55223083496094,32800,22.342291593551636,,30
200.0,0.0,200.0,200.0,200.0,198.0,4.472136,200.0,188.0,198.0,40.240867614746094,33988,23.144644737243652,,31
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,39.66547393798828,34988,23.82260751724243,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,39.14332580566406,35988,24.501450300216675,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,37.28350067138672,36988,25.115296602249146,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,38.7359733581543,37988,25.765854120254517,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,36.562294006347656,38988,26.38986611366272,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,38.274261474609375,39988,27.06767511367798,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,39.380470275878906,40988,27.759345531463623,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,33.45944595336914,41988,28.417227745056152,,39
