Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Critic Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-161.90285,90.30315,-9.973717,-387.98117,93.04545454545455,-192.76869,104.69305,-20.665108,-396.7883,93.95454545454545,-2.8186521530151367,13131.8064453125,2067,2.587019920349121,-192.76869,0
-169.10852,75.42136,-1.9662857,-296.05453,96.04761904761905,-167.9976,114.23147,-60.502052,-544.59467,92.95454545454545,-2.283029317855835,10652.0328125,4112,6.71120285987854,,1
-189.07478,82.232346,-75.70899,-383.86194,111.42105263157895,-182.65482,102.687935,-34.319336,-426.31342,98.23809523809524,-2.3707690238952637,10451.0189453125,6175,9.259052276611328,,2
-159.00713,71.174736,-72.29568,-348.77167,111.05263157894737,-211.79381,102.75764,-34.68905,-352.46686,110.84210526315789,-2.3678174018859863,10948.9568359375,8281,11.833674669265747,,3
-227.38145,131.1585,-59.10826,-527.9298,125.94117647058823,-148.4253,118.34826,38.784393,-448.85742,106.36842105263158,-1.7268179655075073,6939.74873046875,10302,14.361490249633789,,4
-217.78763,149.44255,-10.603615,-460.08038,128.6875,-207.7197,113.830635,-28.057636,-489.72604,115.94444444444444,-2.0731117725372314,10285.523046875,12389,16.99659538269043,,5
-194.1272,123.01336,-25.901573,-392.5348,182.63636363636363,-221.70987,122.58807,-18.953915,-405.78973,128.1875,-1.7229348421096802,8896.8380859375,14440,20.007127046585083,,6
-334.44266,97.536125,-179.60303,-547.1977,146.35714285714286,-224.12321,136.48082,-13.391037,-592.5731,126.1875,-1.7094266414642334,10146.866796875,16459,22.6312575340271,,7
-230.28697,150.0641,-38.2095,-430.48657,159.23076923076923,-246.30637,145.78757,14.0861435,-492.61517,162.15384615384616,-1.2246840000152588,8737.1537109375,18567,25.45211911201477,,8
-182.62698,154.65111,-7.622608,-525.9303,143.8,-238.86882,104.15708,-73.96811,-404.86127,152.28571428571428,-1.1984279155731201,7109.4212890625,20699,28.363161087036133,,9
-241.38083,118.212875,-20.75241,-425.24335,201.5,-232.6665,116.09038,-84.945045,-485.22516,162.35714285714286,-1.2112767696380615,5917.0666015625,22972,31.458528518676758,,10
-165.76614,157.04338,10.024372,-408.3551,161.15384615384616,-206.99141,116.11767,-0.83639526,-352.66693,181.83333333333334,-0.8932780623435974,6116.14853515625,25154,34.630329847335815,,11
-220.62263,111.22833,-43.02271,-401.6308,161.3846153846154,-157.52357,85.11761,-15.275543,-368.99344,154.21428571428572,-0.7846059203147888,3195.194921875,27313,37.45882177352905,,12
-177.85716,123.72787,21.406067,-363.33435,155.76923076923077,-241.1999,130.09193,-23.682842,-458.81628,200.1,-0.7652310729026794,5414.1076171875,29314,40.16993284225464,,13
-270.23538,121.62848,-86.044846,-475.95184,167.58333333333334,-163.8916,111.41944,7.46455,-323.96375,265.0,-0.26752743124961853,3487.7494140625,31434,44.52003335952759,,14
-213.70384,136.56293,11.951955,-428.51367,179.25,-171.1293,187.20015,18.065937,-585.40894,261.0,-0.1881837546825409,5453.93505859375,33522,48.45788526535034,,15
-202.13777,105.20547,-9.526257,-365.3944,238.41666666666666,-251.08717,82.896416,-86.07153,-386.26675,174.16666666666666,-0.946794867515564,5319.4521484375,35612,52.56332349777222,,16
-226.98999,115.50461,-40.210533,-362.8068,163.53846153846155,-219.21613,119.738556,-37.752827,-395.9287,168.33333333333334,-0.8786506056785583,5255.5900390625,37632,55.41428852081299,,17
-171.52547,100.06899,-24.729788,-337.65054,158.6153846153846,-185.42242,138.89482,-19.577866,-424.5179,238.66666666666666,-0.4176660478115082,4574.39599609375,39780,58.95772123336792,,18
-167.94736,120.58306,19.815884,-335.9182,184.45454545454547,-170.64284,94.802635,-18.546017,-300.21518,231.1818181818182,-0.3405921459197998,3751.105908203125,42323,62.94896125793457,,19
-156.99446,123.51322,-5.9852753,-404.92645,155.71428571428572,-145.14737,144.65974,1.094429,-325.00922,465.1666666666667,0.2813100218772888,3756.560595703125,45114,68.27774930000305,,20
-126.53744,107.504326,23.247093,-266.8439,364.3333333333333,-172.04027,81.443634,-53.137302,-279.4989,321.14285714285717,-0.03338884934782982,2641.834326171875,47362,73.93171715736389,,21
-189.46477,96.59116,-6.896909,-313.11646,177.66666666666666,-148.32544,111.03861,-1.5507812,-347.40894,151.92857142857142,-0.5594289898872375,2495.968115234375,49489,76.89545679092407,,22
-236.0448,164.52032,-1.7061796,-435.3836,347.6666666666667,-171.69814,101.1482,-24.089432,-309.5565,193.72727272727272,-0.557029664516449,2955.270556640625,51620,80.90524101257324,,23
-250.26817,89.19988,-135.05127,-421.12994,237.11111111111111,-146.0374,119.32322,18.158112,-321.96616,335.5,0.0001220096746692434,3992.204345703125,53633,85.07093095779419,,24
-138.84825,111.6103,-0.13522339,-334.03452,210.1818181818182,-164.5371,101.65493,-19.497635,-361.75024,219.5,-0.3485308885574341,2029.256201171875,55828,88.54579305648804,,25
-211.2893,92.56148,-9.356245,-318.62836,215.3,-144.54243,125.04317,-24.913841,-405.9473,363.5,0.02193792350590229,2325.6142578125,58009,93.10751128196716,,26
-94.669945,91.599754,3.9044342,-242.92819,307.2857142857143,-182.26251,122.08783,73.80686,-383.3653,243.44444444444446,-0.3006381690502167,3107.32265625,60200,97.93209433555603,,27
-117.666046,104.28641,66.30965,-294.5221,189.36363636363637,-133.76941,112.83539,43.72061,-266.3162,222.77777777777777,-0.058573994785547256,2088.921142578125,62205,101.03702092170715,,28
-127.46344,98.50302,2.137803,-239.781,173.58333333333334,-0.6308772,53.886887,71.45613,-58.082146,719.0,0.2604518532752991,3691.6203125,64362,106.21771693229675,,29
-53.2252,99.972084,64.73484,-216.71452,291.42857142857144,-148.49185,83.65863,-28.51987,-252.09093,208.2,-0.2984488904476166,1657.77314453125,66444,110.25148224830627,,30
-102.749054,90.719666,25.911194,-316.6118,231.0,-108.76785,94.46128,20.197174,-267.9721,306.875,-0.09241611510515213,2771.23837890625,68899,114.47771883010864,,31
-102.295135,89.776375,45.05624,-225.54291,274.22222222222223,-108.45553,109.29224,38.022896,-276.464,200.9,-0.15593667328357697,2569.633349609375,70908,118.68683052062988,,32
-144.04262,91.90369,30.313454,-228.31145,307.0,-170.56279,103.171776,2.1965504,-346.63614,229.2,-0.1836073398590088,2315.640869140625,73200,123.01245546340942,,33
-127.26803,88.630295,9.2645645,-237.80702,264.7,-175.62006,61.26575,-60.33075,-259.8783,238.66666666666666,-0.19210606813430786,1861.871875,75348,127.5331461429596,,34
-128.4114,82.57436,28.358173,-215.45468,345.1666666666667,-170.88242,104.40568,-11.312603,-369.84784,213.2,-0.37635689973831177,3113.483740234375,77480,132.01153874397278,,35
-100.03312,101.83729,30.763496,-273.40524,215.0,-121.36259,93.06053,22.782818,-222.48346,341.1666666666667,0.08163413405418396,2566.39404296875,79527,136.16201448440552,,36
