Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
31.923077,13.702676,70.0,17.0,31.923076923076923,23.869822,11.848935,74.0,9.0,23.869822485207102,10.573978424072266,4034,2.1481807231903076,23.869822,0
41.7,16.667633,77.0,20.0,41.7,33.915253,23.355606,180.0,9.0,33.91525423728814,16.853422164916992,8036,4.646264553070068,,1
48.11111,13.345366,67.0,26.0,48.111111111111114,48.373493,23.593807,132.0,12.0,48.373493975903614,19.472570419311523,12051,6.6330602169036865,,2
48.666668,15.599145,77.0,28.0,48.666666666666664,51.371796,24.413694,110.0,13.0,51.37179487179487,19.80271339416504,16058,8.68447208404541,,3
50.5,14.361406,72.0,27.0,50.5,58.057972,25.676857,180.0,24.0,58.05797101449275,21.201406478881836,20064,10.711345195770264,,4
88.2,57.77335,200.0,40.0,88.2,71.03509,31.559448,169.0,17.0,71.03508771929825,24.857465744018555,24113,12.745445966720581,,5
97.6,24.872475,136.0,68.0,97.6,88.17391,41.888725,200.0,35.0,88.17391304347827,30.83193016052246,28169,14.811960697174072,,6
140.0,30.692019,180.0,102.0,140.0,100.775,46.401234,200.0,42.0,100.775,33.707881927490234,32200,16.89523148536682,,7
142.66667,53.630424,200.0,71.0,142.66666666666666,111.638885,47.656265,200.0,44.0,111.63888888888889,35.58323287963867,36219,18.922656774520874,,8
131.5,14.941553,154.0,117.0,131.5,141.55173,48.647633,200.0,47.0,141.55172413793105,42.05628204345703,40324,21.002054691314697,,9
179.66667,14.383633,200.0,169.0,179.66666666666666,151.7037,35.331043,200.0,82.0,151.7037037037037,41.65679931640625,44420,23.061400651931763,,10
175.66667,17.249798,200.0,162.0,175.66666666666666,165.6,30.233757,200.0,105.0,165.6,43.19624710083008,48560,25.095595598220825,,11
151.0,38.841557,200.0,105.0,151.0,169.54167,29.131855,200.0,118.0,169.54166666666666,43.269798278808594,52629,27.12362575531006,,12
192.0,11.313708,200.0,176.0,192.0,170.125,31.617918,200.0,100.0,170.125,43.21535873413086,56712,29.198850631713867,,13
156.0,40.628395,200.0,102.0,156.0,169.33333,41.42128,200.0,51.0,169.33333333333334,43.14711380004883,60776,31.20688486099243,,14
190.66667,6.798692,200.0,184.0,190.66666666666666,188.45454,19.404139,200.0,120.0,188.45454545454547,46.15403366088867,64922,33.333383083343506,,15
200.0,0.0,200.0,200.0,200.0,191.04762,19.411524,200.0,133.0,191.04761904761904,45.656578063964844,68934,35.31491804122925,,16
