Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Critic Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-57.841263,60.06147,30.154202,-128.69717,476.1666666666667,-22.238169,38.417625,21.15229,-106.782745,201.27272727272728,24.834415435791016,1477.2343994140624,126388,247.20477294921875,,60
-22.558498,60.836235,60.892166,-175.3259,299.6,-49.466625,28.03082,-12.976856,-88.44109,288.0,14.146970748901367,1221.4421875,128404,255.85926628112793,,61
-45.78648,73.423744,9.2018585,-203.14435,345.6666666666667,-35.19366,58.25805,21.857601,-144.93251,564.4,20.234790802001953,1152.2932861328125,131226,265.99686217308044,,62
-34.912212,36.32509,1.8456516,-121.86955,263.0,-14.702332,37.54124,14.909218,-95.52397,333.3333333333333,17.557823181152344,1663.1085205078125,133226,273.9778890609741,,63
-88.932884,43.45316,-30.35696,-151.9017,598.5,-62.227333,63.065094,49.90689,-162.99736,337.0,6.251163482666016,1074.6358642578125,135922,282.9480347633362,,64
-130.61159,118.180725,-10.631462,-264.43106,601.5,-72.24016,36.79362,-34.625206,-117.95355,662.5,11.905660629272461,1282.422900390625,138572,294.8194742202759,,65
-45.825207,80.64768,34.523834,-192.46904,335.8333333333333,-86.21234,37.767677,-56.16938,-150.85909,501.75,1.8348139524459839,1236.303466796875,140579,301.123140335083,,66
-41.133694,57.10966,45.648087,-133.1055,485.1666666666667,-33.69039,55.886772,50.178078,-96.5984,556.8,16.18144416809082,1020.4504028320313,143363,312.00417613983154,,67
-29.884962,72.39282,34.2495,-181.29587,352.0,-45.969887,61.24425,47.462063,-133.47983,546.4,9.912861824035645,935.9104370117187,146095,321.937059879303,,68
2.1914043,35.22757,57.252296,-34.20703,579.5,-61.579468,36.352043,-29.594307,-112.427734,695.0,8.224085807800293,1308.7777587890625,148180,331.46170592308044,,69
-16.536493,1.2434368,-15.2930565,-17.77993,1000.0,-13.351796,67.243935,41.367096,-158.96239,339.5,12.616456985473633,1609.9049560546875,150217,339.0237522125244,,70
