Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
33.846153,21.019573,90.0,12.0,33.84615384615385,23.57059,13.146606,98.0,9.0,23.570588235294117,-0.0050827618688344955,4007,2.1539621353149414,23.57059,0
42.18182,16.948147,77.0,16.0,42.18181818181818,34.913044,20.385658,106.0,11.0,34.91304347826087,-0.009977401234209538,8022,4.52298903465271,,1
53.625,18.526587,94.0,28.0,53.625,43.576088,19.54328,116.0,10.0,43.57608695652174,-0.017972808331251144,12031,6.65699577331543,,2
62.142857,28.527824,111.0,23.0,62.142857142857146,48.939026,24.50652,156.0,15.0,48.9390243902439,-0.008324969559907913,16044,8.688084125518799,,3
66.666664,18.061623,96.0,50.0,66.66666666666667,67.65,30.628323,148.0,17.0,67.65,-0.0039957500994205475,20103,10.668975114822388,,4
61.714287,13.677033,88.0,39.0,61.714285714285715,78.15385,38.600212,200.0,19.0,78.15384615384616,-0.0005902265547774732,24167,12.755946159362793,,5
82.0,27.502728,116.0,40.0,82.0,80.3,33.319813,199.0,32.0,80.3,-0.0033134822733700275,28182,14.720747947692871,,6
86.2,21.553654,110.0,55.0,86.2,93.045456,40.467133,200.0,40.0,93.04545454545455,-0.014642850495874882,32276,17.119773149490356,,7
116.0,45.23826,185.0,58.0,116.0,109.5946,35.71544,200.0,50.0,109.5945945945946,-0.0014223362086340785,36331,19.101232767105103,,8
128.5,5.894913,137.0,123.0,128.5,115.0,40.68766,200.0,44.0,115.0,-0.007061478681862354,40356,21.260628700256348,,9
150.0,35.364765,200.0,124.0,150.0,162.32,30.642088,200.0,109.0,162.32,-0.008472269400954247,44414,23.396655321121216,,10
149.66667,27.402351,187.0,122.0,149.66666666666666,175.52174,28.948034,200.0,115.0,175.52173913043478,-0.013410954736173153,48451,25.44127869606018,,11
134.66667,21.312489,164.0,114.0,134.66666666666666,161.28,27.042957,200.0,99.0,161.28,-0.010004512965679169,52483,27.61770534515381,,12
200.0,0.0,200.0,200.0,200.0,159.1923,31.555836,200.0,107.0,159.19230769230768,-0.018087690696120262,56622,29.616660356521606,,13
153.33333,22.866762,170.0,121.0,153.33333333333334,161.44,32.96068,200.0,107.0,161.44,-0.0031346892938017845,60658,31.741976499557495,,14
200.0,0.0,200.0,200.0,200.0,167.83333,34.552696,200.0,105.0,167.83333333333334,-0.012646454386413097,64686,33.63066029548645,,15
200.0,0.0,200.0,200.0,200.0,189.63637,17.49687,200.0,134.0,189.63636363636363,-0.0040088072419166565,68858,35.66097569465637,,16
200.0,0.0,200.0,200.0,200.0,186.72728,21.119102,200.0,129.0,186.72727272727272,0.0009015242685563862,72966,37.73606467247009,,17
200.0,0.0,200.0,200.0,200.0,186.72728,16.877047,200.0,147.0,186.72727272727272,-0.006896062754094601,77074,39.654640674591064,,18
200.0,0.0,200.0,200.0,200.0,191.2381,13.560815,200.0,148.0,191.23809523809524,-0.00934746116399765,81090,41.732990980148315,,19
200.0,0.0,200.0,200.0,200.0,194.90475,12.701348,200.0,147.0,194.9047619047619,-0.012728419154882431,85183,43.74087190628052,,20
200.0,0.0,200.0,200.0,200.0,191.33333,14.717445,200.0,156.0,191.33333333333334,-0.011247037909924984,89201,45.76619219779968,,21
200.0,0.0,200.0,200.0,200.0,198.33333,5.249338,200.0,179.0,198.33333333333334,0.0015457476256415248,93366,47.88819432258606,,22
200.0,0.0,200.0,200.0,200.0,196.42857,11.882647,200.0,148.0,196.42857142857142,0.0019923229701817036,97491,49.84088206291199,,23
200.0,0.0,200.0,200.0,200.0,199.28572,3.1943827,200.0,185.0,199.28571428571428,0.0018739717779681087,101676,52.038379192352295,,24
200.0,0.0,200.0,200.0,200.0,197.85715,6.6065316,200.0,177.0,197.85714285714286,0.004282769281417131,105831,54.06093716621399,,25
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.01314221415668726,109831,56.054078578948975,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0031971626449376345,113831,58.10281443595886,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.009905782528221607,117831,60.049617767333984,,28
200.0,0.0,200.0,200.0,200.0,197.80952,8.015575,200.0,163.0,197.8095238095238,-5.319638512446545e-05,121985,62.2594313621521,,29
195.33333,6.5996633,200.0,186.0,195.33333333333334,200.0,0.0,200.0,200.0,200.0,-0.0005877113435417414,125985,64.25142002105713,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.006964045576751232,129985,66.35834765434265,,31
200.0,0.0,200.0,200.0,200.0,187.90909,26.929047,200.0,86.0,187.9090909090909,0.001518267672508955,134119,68.50152015686035,,32
195.66667,6.1282587,200.0,187.0,195.66666666666666,194.66667,16.542393,200.0,138.0,194.66666666666666,-0.0030168131925165653,138207,70.6275851726532,,33
200.0,0.0,200.0,200.0,200.0,191.5238,23.002317,200.0,110.0,191.52380952380952,0.01095370389521122,142229,72.71900820732117,,34
200.0,0.0,200.0,200.0,200.0,197.19048,9.854267,200.0,154.0,197.1904761904762,-0.0055221025831997395,146370,74.69610118865967,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0018628976540639997,150370,76.81221199035645,,36
182.33333,24.98444,200.0,147.0,182.33333333333334,199.0,3.2659864,200.0,186.0,199.0,-0.005793147720396519,154549,78.89879560470581,,37
200.0,0.0,200.0,200.0,200.0,199.57143,1.9166299,200.0,191.0,199.57142857142858,0.004242399707436562,158740,80.97875833511353,,38
200.0,0.0,200.0,200.0,200.0,199.42857,2.3415794,200.0,189.0,199.42857142857142,0.004155261442065239,162928,83.08014512062073,,39
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.003266673069447279,166928,84.98305082321167,,40
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.007572902366518974,170928,87.08763122558594,,41
200.0,0.0,200.0,200.0,200.0,195.04762,22.147722,200.0,96.0,195.04761904761904,-3.160792402923107e-06,175024,89.02469372749329,,42
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.003548885928466916,179024,91.02802968025208,,43
200.0,0.0,200.0,200.0,200.0,195.71428,13.565163,200.0,145.0,195.71428571428572,-0.0023440069053322077,183134,93.07908511161804,,44
200.0,0.0,200.0,200.0,200.0,199.85715,0.63887656,200.0,197.0,199.85714285714286,-0.007952247746288776,187331,95.10861468315125,,45
200.0,0.0,200.0,200.0,200.0,199.80952,0.85183537,200.0,196.0,199.8095238095238,-0.003472178243100643,191527,97.33892869949341,,46
200.0,0.0,200.0,200.0,200.0,197.33333,11.925695,200.0,144.0,197.33333333333334,-0.001547079300507903,195671,99.32290887832642,,47
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.007866427302360535,199671,101.40217614173889,,48
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0031899213790893555,203671,103.35533905029297,,49
200.0,0.0,200.0,200.0,200.0,199.66667,1.4907118,200.0,193.0,199.66666666666666,-0.00803969893604517,207864,105.33559012413025,,50
198.0,2.1602468,200.0,195.0,198.0,200.0,0.0,200.0,200.0,200.0,-0.010056842118501663,211864,107.48938989639282,,51
159.66667,12.119773,176.0,147.0,159.66666666666666,183.77272,8.484917,200.0,169.0,183.77272727272728,-0.010969454422593117,215907,109.4253990650177,,52
133.66667,2.4944384,137.0,131.0,133.66666666666666,145.35715,34.111385,168.0,22.0,145.35714285714286,-0.027168039232492447,219977,111.46987628936768,,53
122.0,6.519202,128.0,111.0,122.0,111.55556,44.689327,153.0,18.0,111.55555555555556,-0.028085477650165558,223993,113.38566136360168,,54
121.0,6.78233,131.0,113.0,121.0,100.85,39.269295,140.0,17.0,100.85,-0.025860454887151718,228027,115.3470196723938,,55
119.5,5.7227616,126.0,112.0,119.5,112.94444,22.079332,131.0,25.0,112.94444444444444,-0.03125293180346489,232093,117.46506190299988,,56
121.75,13.102958,136.0,105.0,121.75,123.606064,6.8043633,138.0,109.0,123.60606060606061,-0.01418380718678236,236172,119.41636323928833,,57
128.25,6.759253,134.0,117.0,128.25,125.09375,7.5967073,141.0,112.0,125.09375,-0.02701108157634735,240175,121.51586771011353,,58
131.75,6.609652,139.0,121.0,131.75,125.34375,8.072366,146.0,108.0,125.34375,-0.021543320268392563,244186,123.46670579910278,,59
134.0,8.524474,146.0,127.0,134.0,133.86667,8.663076,148.0,120.0,133.86666666666667,-0.011869258247315884,248202,125.40177083015442,,60
127.75,7.52911,137.0,117.0,127.75,133.86667,8.735877,153.0,119.0,133.86666666666667,-0.020601561293005943,252218,127.52045941352844,,61
129.0,6.819091,139.0,120.0,129.0,133.83333,11.991896,167.0,113.0,133.83333333333334,-0.018874995410442352,256233,129.4285831451416,,62
134.33333,10.656245,149.0,124.0,134.33333333333334,134.63333,9.046117,160.0,122.0,134.63333333333333,-0.020198175683617592,260272,131.47728657722473,,63
144.0,4.3204937,150.0,140.0,144.0,141.86208,12.29164,165.0,121.0,141.86206896551724,-0.031043482944369316,264386,133.4252257347107,,64
154.66667,11.953614,168.0,139.0,154.66666666666666,139.93103,13.0699215,166.0,119.0,139.93103448275863,-0.01772131398320198,268444,135.3872423171997,,65
130.0,23.097618,156.0,101.0,130.0,140.89655,15.239117,179.0,108.0,140.89655172413794,-0.01872669719159603,272530,137.53933763504028,,66
134.0,6.4807405,140.0,125.0,134.0,138.93103,13.980112,170.0,118.0,138.93103448275863,-0.014578265137970448,276559,139.3953559398651,,67
142.33333,4.109609,147.0,137.0,142.33333333333334,139.34483,16.095139,170.0,113.0,139.3448275862069,-0.02153237722814083,280600,141.41040468215942,,68
166.33333,10.077478,180.0,156.0,166.33333333333334,150.25926,18.472387,200.0,112.0,150.25925925925927,-0.0020735301077365875,284657,143.4633023738861,,69
200.0,0.0,200.0,200.0,200.0,163.96,18.476969,200.0,133.0,163.96,-0.021328141912817955,288756,145.4409625530243,,70
199.0,1.4142135,200.0,197.0,199.0,177.73914,19.731276,200.0,139.0,177.7391304347826,-0.011717219837009907,292844,147.61016035079956,,71
181.66667,13.02135,200.0,171.0,181.66666666666666,193.71428,10.165969,200.0,173.0,193.71428571428572,-0.006605807691812515,296912,149.55868768692017,,72
157.33333,14.197026,177.0,144.0,157.33333333333334,188.63637,13.130622,200.0,156.0,188.63636363636363,-0.017612285912036896,301062,151.75337529182434,,73
135.33333,7.9302516,146.0,127.0,135.33333333333334,172.95833,25.132116,200.0,128.0,172.95833333333334,-0.009160575456917286,305213,153.6792380809784,,74
141.0,10.677078,150.0,126.0,141.0,143.57143,14.690688,194.0,122.0,143.57142857142858,-0.013811779208481312,309233,155.58730268478394,,75
118.75,5.53963,124.0,110.0,118.75,130.2258,13.516322,155.0,107.0,130.2258064516129,-0.03818138688802719,313270,157.6748173236847,,76
122.25,14.754236,141.0,105.0,122.25,117.11429,9.300603,138.0,98.0,117.11428571428571,-0.026153700426220894,317369,159.6125419139862,,77
119.5,5.6789083,129.0,114.0,119.5,118.94118,12.359663,153.0,102.0,118.94117647058823,-0.019923612475395203,321413,161.6864161491394,,78
117.5,5.17204,124.0,110.0,117.5,117.62857,11.647406,140.0,97.0,117.62857142857143,-0.03168560191988945,325530,163.6272578239441,,79
112.25,6.219928,120.0,103.0,112.25,117.85294,12.266963,143.0,91.0,117.8529411764706,-0.016832871362566948,329537,165.52179217338562,,80
114.0,8.3666,122.0,100.0,114.0,117.4,8.448837,135.0,102.0,117.4,-0.023690586909651756,333646,167.65577340126038,,81
134.0,4.9665546,141.0,130.0,134.0,117.64706,7.8884964,139.0,105.0,117.6470588235294,-0.03751242533326149,337646,169.49552989006042,,82
136.0,6.6833124,143.0,127.0,136.0,122.030304,9.392081,142.0,108.0,122.03030303030303,-0.027446966618299484,341673,171.55322980880737,,83
141.0,8.286535,152.0,132.0,141.0,132.03226,9.385932,154.0,116.0,132.03225806451613,-0.03193274140357971,345766,173.54676389694214,,84
137.66667,8.339998,145.0,126.0,137.66666666666666,137.5,7.5133214,149.0,122.0,137.5,-0.02653464674949646,349891,175.63568496704102,,85
146.0,6.164414,154.0,139.0,146.0,139.13792,9.57628,161.0,120.0,139.13793103448276,-0.02999945729970932,353926,177.79151844978333,,86
143.33333,10.530379,154.0,129.0,143.33333333333334,143.17857,8.250772,159.0,126.0,143.17857142857142,-0.0344754233956337,357935,179.73380303382874,,87
148.0,0.0,148.0,148.0,148.0,141.24138,10.247474,163.0,126.0,141.24137931034483,-0.03297097235918045,362031,181.89499282836914,,88
155.33333,1.8856181,158.0,154.0,155.33333333333334,144.67857,10.354618,171.0,125.0,144.67857142857142,-0.03222495689988136,366082,183.8207688331604,,89
168.0,2.1602468,170.0,165.0,168.0,157.07692,10.72353,177.0,132.0,157.07692307692307,-0.02856457233428955,370166,185.83991718292236,,90
186.0,6.164414,194.0,179.0,186.0,167.83333,13.810222,196.0,147.0,167.83333333333334,-0.014703109860420227,374194,187.87315320968628,,91
181.66667,6.5489607,190.0,174.0,181.66666666666666,184.90909,11.401392,200.0,159.0,184.9090909090909,-0.03165711835026741,378262,189.8201277256012,,92
192.33333,7.0395703,200.0,183.0,192.33333333333334,193.66667,8.509565,200.0,171.0,193.66666666666666,-0.03312430903315544,382329,191.96508145332336,,93
200.0,0.0,200.0,200.0,200.0,198.28572,4.3220677,200.0,181.0,198.28571428571428,-0.02078312821686268,386493,193.88984155654907,,94
200.0,0.0,200.0,200.0,200.0,199.90475,0.42591769,200.0,198.0,199.9047619047619,-0.008659560233354568,390691,195.89935398101807,,95
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.009090468287467957,394691,197.86252975463867,,96
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.001608088263310492,398691,199.7080738544464,,97
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.009025403298437595,402691,201.7233567237854,,98
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0008499600808136165,406691,203.5888798236847,,99
