Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
23.588236,13.672897,62.0,10.0,23.58823529411765,23.372093,12.163658,61.0,10.0,23.372093023255815,20.518882751464844,1005,0.6822142601013184,23.372093,0
36.083332,23.42171,93.0,13.0,36.083333333333336,21.680851,10.815879,54.0,9.0,21.680851063829788,18.426685333251953,2024,3.4145116806030273,,1
33.416668,20.714159,91.0,15.0,33.416666666666664,25.275,15.981219,88.0,8.0,25.275,23.49507713317871,3035,4.1814124584198,,2
33.76923,16.077475,74.0,13.0,33.76923076923077,28.885714,15.99066,83.0,11.0,28.885714285714286,24.42901039123535,4046,4.93246054649353,,3
47.11111,19.863111,83.0,23.0,47.111111111111114,33.666668,16.263115,70.0,15.0,33.666666666666664,26.127613067626953,5056,5.63597846031189,,4
54.875,17.70196,80.0,21.0,54.875,50.25,27.897804,129.0,15.0,50.25,40.89546203613281,6061,6.368707656860352,,5
116.25,32.23643,152.0,64.0,116.25,48.61905,21.766022,134.0,24.0,48.61904761904762,35.60820388793945,7082,7.099271535873413,,6
53.625,15.3292,79.0,35.0,53.625,56.38889,29.086346,115.0,19.0,56.388888888888886,42.655635833740234,8097,7.870919466018677,,7
74.333336,54.149998,190.0,31.0,74.33333333333333,63.5,24.24871,120.0,28.0,63.5,41.43490982055664,9113,8.651071310043335,,8
56.125,20.040194,101.0,33.0,56.125,67.53333,23.969055,117.0,28.0,67.53333333333333,43.25111770629883,10126,9.398526430130005,,9
71.5,26.60044,130.0,51.0,71.5,77.92308,22.855606,120.0,42.0,77.92307692307692,46.71026611328125,11139,10.064709424972534,,10
97.6,30.322268,152.0,59.0,97.6,79.69231,17.721714,120.0,48.0,79.6923076923077,45.9655876159668,12175,10.791209936141968,,11
57.57143,17.186848,78.0,36.0,57.57142857142857,57.88889,25.755018,123.0,28.0,57.888888888888886,36.57699966430664,13217,11.51173710823059,,12
72.166664,25.089285,126.0,51.0,72.16666666666667,53.526318,14.879758,86.0,31.0,53.526315789473685,29.212209701538086,14234,12.212291479110718,,13
88.6,32.70841,152.0,58.0,88.6,65.25,30.100872,152.0,28.0,65.25,41.237648010253906,15278,13.020889043807983,,14
74.166664,17.976065,88.0,35.0,74.16666666666667,60.82353,21.241568,102.0,33.0,60.8235294117647,34.2939567565918,16312,13.804212808609009,,15
