train/loss,train/epoch,step
0.9884748458862305,0,0
,,0
0.15411658585071564,0,100
0.12084102630615234,1,200
0.13043084740638733,1,300
0.12043231725692749,2,400
0.12041109800338745,2,500
0.11430029571056366,3,600
0.10164880752563477,3,700
0.11336462944746017,4,800
0.10582290589809418,4,900
0.08876670151948929,5,1000
0.09679459780454636,5,1100
0.09305276721715927,6,1200
0.10285428911447525,6,1300
0.07701496034860611,7,1400
0.0788700133562088,7,1500
0.08664549887180328,8,1600
0.09875158220529556,8,1700
0.10472972691059113,9,1800
0.1002582386136055,10,1900
0.09386340528726578,10,2000
0.08074796944856644,11,2100
0.07814016938209534,11,2200
0.07262436300516129,12,2300
0.07790146768093109,12,2400
0.08871739357709885,13,2500
0.07058865576982498,13,2600
0.07712631672620773,14,2700
0.0562535896897316,14,2800
0.08072949945926666,15,2900
0.06545102596282959,15,3000
0.061185114085674286,16,3100
0.059315331280231476,16,3200
0.05246303230524063,17,3300
0.06613789498806,17,3400
0.06839020550251007,18,3500
0.06353560090065002,19,3600
0.06249765679240227,19,3700
0.06484050303697586,20,3800
0.07509715855121613,20,3900
0.06248697265982628,21,4000
0.07416901737451553,21,4100
0.05701006203889847,22,4200
0.06049548089504242,22,4300
0.06291467696428299,23,4400
0.054815325886011124,23,4500
0.05516256392002106,24,4600
0.05998403578996658,24,4700
0.0563674122095108,25,4800
0.08288309723138809,25,4900
0.04858870059251785,26,5000
0.05367005988955498,26,5100
0.047812435775995255,27,5200
0.04824922978878021,28,5300
0.051846135407686234,28,5400
0.06687544286251068,29,5500
0.05974442884325981,29,5600
0.07257549464702606,30,5700
0.06643366068601608,30,5800
0.041391801089048386,31,5900
0.04161379858851433,31,6000
0.05515797808766365,32,6100
0.05746912211179733,32,6200
0.05240895226597786,33,6300
0.059105660766363144,33,6400
0.07232199609279633,34,6500
0.057745594531297684,34,6600
0.04333499073982239,35,6700
0.04862808808684349,35,6800
0.04482533782720566,36,6900
0.05095610395073891,37,7000
0.04798378422856331,37,7100
0.052401911467313766,38,7200
0.043819643557071686,38,7300
0.0457691065967083,39,7400
0.06323377788066864,39,7500
0.05560626834630966,40,7600
0.05438569188117981,40,7700
0.04561842978000641,41,7800
0.060541462153196335,41,7900
0.054308176040649414,42,8000
0.05800008773803711,42,8100
0.05359255522489548,43,8200
0.05427689105272293,43,8300
0.049679338932037354,44,8400
0.05407553166151047,44,8500
0.05250207334756851,45,8600
0.04793480783700943,46,8700
0.04476596415042877,46,8800
0.05452987924218178,47,8900
0.03997538238763809,47,9000
0.03442841023206711,48,9100
0.05195218697190285,48,9200
0.05553045496344566,49,9300
0.04482370987534523,49,9400
0.048644617199897766,50,9500
0.03427394479513168,50,9600
0.03582008555531502,51,9700
0.03756638616323471,51,9800
0.0474332757294178,52,9900
0.0381736233830452,52,10000
,,10000
0.046757519245147705,53,10100
0.04651771858334541,53,10200
0.037090983241796494,54,10300
0.045183513313531876,55,10400
0.03384842351078987,55,10500
0.05358497053384781,56,10600
0.03488130494952202,56,10700
0.04136212170124054,57,10800
0.043759945780038834,57,10900
0.028206799179315567,58,11000
0.04315924644470215,58,11100
0.038227733224630356,59,11200
0.035792648792266846,59,11300
0.04565131664276123,60,11400
0.03871414065361023,60,11500
0.04306582361459732,61,11600
0.0370769165456295,61,11700
0.04066396877169609,62,11800
0.03470403701066971,62,11900
0.05300827696919441,63,12000
0.038052186369895935,64,12100
0.03972897678613663,64,12200
0.048116981983184814,65,12300
0.051444318145513535,65,12400
0.03440878167748451,66,12500
0.03412487357854843,66,12600
0.05476289987564087,67,12700
0.043333739042282104,67,12800
0.0439348928630352,68,12900
0.030742250382900238,68,13000
0.06165573000907898,69,13100
0.03735678270459175,69,13200
0.038642022758722305,70,13300
0.04258206486701965,70,13400
0.03875879570841789,71,13500
0.0265355184674263,71,13600
0.035225916653871536,72,13700
0.03563453257083893,73,13800
0.03526715934276581,73,13900
0.04112108051776886,74,14000
0.041894037276506424,74,14100
0.03268097713589668,75,14200
0.045050784945487976,75,14300
0.03395026549696922,76,14400
0.03167589008808136,76,14500
0.03558631241321564,77,14600
0.026889603585004807,77,14700
0.03990575298666954,78,14800
0.036749400198459625,78,14900
0.03335437923669815,79,15000
0.03681272268295288,79,15100
0.03241477161645889,80,15200
