train/loss,train/epoch,step
2.009726047515869,0,0
,,0
0.8912895321846008,0,100
0.5306620001792908,1,200
0.4998655319213867,1,300
0.5222129225730896,2,400
0.48964691162109375,2,500
0.4810018539428711,3,600
0.4639868438243866,3,700
0.41613447666168213,4,800
0.4844292402267456,4,900
0.48847803473472595,5,1000
0.4469723701477051,5,1100
0.40799856185913086,6,1200
0.40396541357040405,6,1300
0.40952473878860474,7,1400
0.39099621772766113,7,1500
0.3482505679130554,8,1600
0.35238373279571533,8,1700
0.37418922781944275,9,1800
0.3934634327888489,10,1900
0.3746830224990845,10,2000
0.365725040435791,11,2100
0.3883381485939026,11,2200
0.3751131296157837,12,2300
0.4249281883239746,12,2400
0.33924129605293274,13,2500
0.3430498242378235,13,2600
0.3351520895957947,14,2700
0.3673250675201416,14,2800
0.38387447595596313,15,2900
0.32542431354522705,15,3000
0.3282214403152466,16,3100
0.33643749356269836,16,3200
0.3443189263343811,17,3300
0.35656988620758057,17,3400
0.3290519416332245,18,3500
0.3211857080459595,19,3600
0.33119890093803406,19,3700
0.3839936852455139,20,3800
0.3601321876049042,20,3900
0.3382777273654938,21,4000
0.33778488636016846,21,4100
0.3666359782218933,22,4200
0.33629390597343445,22,4300
0.32670411467552185,23,4400
0.3068900406360626,23,4500
0.3079642951488495,24,4600
0.3155437707901001,24,4700
0.34815311431884766,25,4800
0.38142555952072144,25,4900
0.3588501214981079,26,5000
0.2924642264842987,26,5100
0.34758150577545166,27,5200
0.34390681982040405,28,5300
0.3449077606201172,28,5400
0.30106696486473083,29,5500
0.34649398922920227,29,5600
0.3892376720905304,30,5700
0.34240734577178955,30,5800
0.33824658393859863,31,5900
0.2730833888053894,31,6000
0.28911617398262024,32,6100
0.3053343892097473,32,6200
0.28178542852401733,33,6300
0.33653929829597473,33,6400
0.31551170349121094,34,6500
0.32995733618736267,34,6600
0.2923976182937622,35,6700
0.3275875151157379,35,6800
0.2832334637641907,36,6900
0.3298853635787964,37,7000
0.32769882678985596,37,7100
0.2778169810771942,38,7200
0.32926279306411743,38,7300
0.3300457298755646,39,7400
0.3329666554927826,39,7500
0.3289339244365692,40,7600
0.34252697229385376,40,7700
0.21706220507621765,41,7800
0.2544698715209961,41,7900
0.3066345751285553,42,8000
0.2855551838874817,42,8100
0.2929287552833557,43,8200
0.2919759452342987,43,8300
0.27576982975006104,44,8400
0.28166884183883667,44,8500
0.2515527606010437,45,8600
